Date,Close
1/18/2002,"1,127.58"
1/22/2002,"1,119.31"
1/23/2002,"1,128.18"
1/24/2002,"1,132.15"
1/25/2002,"1,133.28"
1/28/2002,"1,133.06"
1/29/2002,"1,100.64"
1/30/2002,"1,113.57"
1/31/2002,"1,130.20"
2/1/2002,"1,122.20"
2/4/2002,"1,094.44"
2/5/2002,"1,090.02"
2/6/2002,"1,083.51"
2/7/2002,"1,080.17"
2/8/2002,"1,096.22"
2/11/2002,"1,111.94"
2/12/2002,"1,107.50"
2/13/2002,"1,118.51"
2/14/2002,"1,116.48"
2/15/2002,"1,104.18"
2/19/2002,"1,083.34"
2/20/2002,"1,097.98"
2/21/2002,"1,080.95"
2/22/2002,"1,089.84"
2/25/2002,"1,109.43"
2/26/2002,"1,109.38"
2/27/2002,"1,109.89"
2/28/2002,"1,106.73"
3/1/2002,"1,131.78"
3/4/2002,"1,153.84"
3/5/2002,"1,146.14"
3/6/2002,"1,162.77"
3/7/2002,"1,157.54"
3/8/2002,"1,164.31"
3/11/2002,"1,168.26"
3/12/2002,"1,165.58"
3/13/2002,"1,154.09"
3/14/2002,"1,153.04"
3/15/2002,"1,166.16"
3/18/2002,"1,165.55"
3/19/2002,"1,170.29"
3/20/2002,"1,151.85"
3/21/2002,"1,153.59"
3/22/2002,"1,148.70"
3/25/2002,"1,131.87"
3/26/2002,"1,138.49"
3/27/2002,"1,144.58"
3/28/2002,"1,147.39"
4/1/2002,"1,146.54"
4/2/2002,"1,136.76"
4/3/2002,"1,125.40"
4/4/2002,"1,126.34"
4/5/2002,"1,122.73"
4/8/2002,"1,125.29"
4/9/2002,"1,117.80"
4/10/2002,"1,130.47"
4/11/2002,"1,103.69"
4/12/2002,"1,111.01"
4/15/2002,"1,102.55"
4/16/2002,"1,128.37"
4/17/2002,"1,126.07"
4/18/2002,"1,124.47"
4/19/2002,"1,125.17"
4/22/2002,"1,107.83"
4/23/2002,"1,100.96"
4/24/2002,"1,093.14"
4/25/2002,"1,091.48"
4/26/2002,"1,076.32"
4/29/2002,"1,065.45"
4/30/2002,"1,076.92"
5/1/2002,"1,086.46"
5/2/2002,"1,084.56"
5/3/2002,"1,073.43"
5/6/2002,"1,052.67"
5/7/2002,"1,049.49"
5/8/2002,"1,088.85"
5/9/2002,"1,073.01"
5/10/2002,"1,054.99"
5/13/2002,"1,074.56"
5/14/2002,"1,097.28"
5/15/2002,"1,091.07"
5/16/2002,"1,098.23"
5/17/2002,"1,106.59"
5/20/2002,"1,091.88"
5/21/2002,"1,079.88"
5/22/2002,"1,086.02"
5/23/2002,"1,097.08"
5/24/2002,"1,083.82"
5/28/2002,"1,074.55"
5/29/2002,"1,067.66"
5/30/2002,"1,064.66"
5/31/2002,"1,067.14"
6/3/2002,"1,040.68"
6/4/2002,"1,040.69"
6/5/2002,"1,049.90"
6/6/2002,"1,029.15"
6/7/2002,"1,027.53"
6/10/2002,"1,030.74"
6/11/2002,"1,013.60"
6/12/2002,"1,020.26"
6/13/2002,"1,009.56"
6/14/2002,"1,007.27"
6/17/2002,"1,036.17"
6/18/2002,"1,037.14"
6/19/2002,"1,019.99"
6/20/2002,"1,006.29"
6/21/2002,989.14
6/24/2002,992.72
6/25/2002,976.14
6/26/2002,973.53
6/27/2002,990.64
6/28/2002,989.82
7/1/2002,968.65
7/2/2002,948.09
